_id,ANY,ORGÀNICA,PROGRAMA,ECONÒMICA,DESCRIPCIÓ PARTIDA,CRÈDITS INICIALS,MODIFICACIONS CRÈDIT,CRÈDITS TOTALS CONSIGNATS,DISPOSICIONS O COMPROMISOS,OBLIGACIONS RECONEGUDES,PAGAMENTS REALITZATS
1,2019,10101,91200,233,Alcaldia-Òrgans de govern-Altres indemnitzacions,254480.00,-27200.00,227280.00,215250.00,215250.00,215250.00
2,2019,10101,91200,23100,Alcaldia-Òrgans de govern-Locomoció organs govern,3000.00,0.00,3000.00,1788.03,1788.03,1685.08
3,2019,10101,91200,23000,Alcaldia-Òrgans de govern-Dietes organs govern,3000.00,0.00,3000.00,1553.09,1553.09,1347.05
4,2019,10101,91200,22799,Alcaldia-Organs de govern-Treballs realizats emp.,0.00,0.00,0.00,17076.12,17076.12,9725.37
5,2019,10101,91200,22699,Alcaldia-Òrgans de govern-Despeses diverses,31000.00,0.00,31000.00,26168.40,26168.40,13807.06
6,2019,10101,91200,22602,Alcaldia-Òrgans de govern-Publicitat,10000.00,0.00,10000.00,9425.69,9425.69,3345.65
7,2019,10101,91200,22601,Alcaldia-Organs de govern-Atencions protocolaries i represen,20000.00,25000.00,45000.00,48805.86,48805.86,43705.69
8,2019,10101,91220,489,Alcaldia-Grups municipals-A famílies i institucion,182790.00,0.00,182790.00,181176.00,165046.50,148996.50
9,2019,10101,92000,22699,Alcaldia-PG-Despeses diverses,0.00,0.00,0.00,803.70,803.70,803.70
10,2019,10101,92000,629,Alcaldia-Adm Gral-PG-Alt. Inv. assoc. al funcionament servei,0.00,6949.58,6949.58,6937.32,6937.32,5487.74
11,2019,10101,92000,22799,Alcaldia-PG-Treballs realizats per altres emp.,17000.00,0.00,17000.00,0.00,0.00,0.00
12,2019,10101,92000,489,Alcaldia-PG-A famílies i institucions sense ànim l,26000.00,13700.00,39700.00,31450.00,31450.00,27860.00
13,2019,10101,92000,789,Alcaldia-PG-A famílies i institucions sense finalitats lucre,0.00,1200.00,1200.00,1200.00,1200.00,0.00
14,2019,10101,92010,467,Alcaldia-Aportacions a consorcis-A Consorcis,12535.00,0.00,12535.00,0.00,0.00,0.00
15,2019,10101,92010,489,Alcaldia-Aport.assoc.municipalistes i altres-A fam,31465.00,0.00,31465.00,48253.12,48253.12,48253.12
16,2019,10102,49170,22699,Comunicacio-Comunicació PG-Despeses diverses,0.00,0.00,0.00,13.67,13.67,13.67
17,2019,10102,49170,22799,Comunicació-ComuncicacioPG-Treballs realitzats emp,39000.00,15000.00,54000.00,66052.26,66052.26,59053.13
18,2019,10102,49170,22695,Comunicació-Comunicació PG-Diversos,123000.00,0.00,123000.00,18.80,18.80,18.80
19,2019,10102,49170,22602,Comunicació-Comunicació PG-Publicitat,127000.00,-16384.00,110616.00,219539.00,219539.00,167311.64
20,2019,10102,49170,22001,"Comunicació-Comunicació PG-Premsa, llibres i altre",8000.00,0.00,8000.00,7360.86,7360.86,4001.34
21,2019,10203,13200,219,Guàrdia urbana.-PG-Rep.mant. immobilitzat material,0.00,0.00,0.00,3750.69,3750.69,2962.48
22,2019,10203,13200,202,Guardia Urbana-PG-Arrendament alt.construccio (galeria tir),0.00,0.00,0.00,2117.28,2117.28,1764.40
23,2019,10203,13200,204,Guàrdia urbana-PG-Arrendament mat.transport,0.00,0.00,0.00,0.00,0.00,0.00
24,2019,10203,13200,206,Guàrdia urbana-PG-Arrendament equip.p.informació,0.00,0.00,0.00,0.00,0.00,0.00
25,2019,10203,13200,212,Guàrdia urbana-PG-Rep.mant.conserv.edificis,4500.00,0.00,4500.00,0.00,0.00,0.00
26,2019,10203,13200,214,Guàrdia urbana-PG-Rep.mant.conserv.mat.transport,35500.00,0.00,35500.00,49999.33,49999.33,34915.62
27,2019,10203,13200,22000,Guàrdia urbana-PG-Material d oficina,0.00,0.00,0.00,234.53,234.53,46.98
28,2019,10203,13200,22100,Guàrdia urbana-PG-Subministrament energia elèctric,70000.00,0.00,70000.00,80643.77,80643.77,60148.27
29,2019,10203,13200,22102,Guàrdia urbana-PG-Subministraments de gas,5000.00,0.00,5000.00,2315.38,2315.38,1985.91
30,2019,10203,13200,22103,Guàrdia urbana-PG-Subministraments combustibles,35000.00,0.00,35000.00,41663.99,41663.99,28225.83
31,2019,10203,13200,22104,Guàrdia urbana-PG-Vestuari,42000.00,0.00,42000.00,55491.14,55491.14,26630.29
32,2019,10203,13200,22199,Guàrdia urbana-PG-Altres subministraments,20000.00,0.00,20000.00,5662.05,5662.05,1971.55
33,2019,10203,13200,22601,Guàrdia Urbana-PG-Atencions protocolàries,0.00,0.00,0.00,6232.22,6232.22,2686.21
34,2019,10203,13200,22699,Guàrdia urbana-PG-Despeses diverses,15500.00,0.00,15500.00,7692.86,7692.86,2610.86
35,2019,10203,13200,22799,Guàrdia urbana-PG-Treballs realitzats per empreses,11500.00,0.00,11500.00,6712.43,6712.43,5358.74
36,2019,10203,13200,624,Guàrdia urbana-PG-Elements de transport,0.00,64130.00,64130.00,26849.49,2114.50,2114.50
37,2019,10203,13200,629,Guàrdia urbana-PG-Altres inversions,0.00,79999.39,79999.39,58785.93,58785.93,15588.93
38,2019,10203,13200,632,Guardia Urbana-PG-Inv.reposició edif. i altres constr.,0.00,0.00,0.00,0.00,0.00,0.00
39,2019,10203,13200,208,Guardia urbana-PG-Arrendament altre immobilitzat material,0.00,0.00,0.00,740.62,740.62,740.62
40,2019,10203,13200,62400,Guardia Urbana-PG-Elements de transport,0.00,88134.99,88134.99,87681.00,87681.00,87681.00
41,2019,10203,13210,22799,Guàrdia urbana-Convenis-Treballs real.altres emp.,30000.00,0.00,30000.00,30500.03,30500.02,27958.37
42,2019,10203,13300,22799,Guàrdia Urbana-Servei retirada vehicles,370000.00,22627.00,392627.00,367028.11,367028.11,305962.43
43,2019,10203,13300,22701,Guàrdia Urbana-Dipòsit vehicles-Seguretat,139046.16,-22647.00,116399.16,70625.28,70625.28,63423.36
44,2019,10203,13301,210,Guardia Urbana-Ordenació transit-Repar.i mant.Infraest.,0.00,0.00,0.00,59911.35,57567.98,33595.42
45,2019,10203,13301,609,Guàrdia Urbana-Ordenacio de trànsit-Inv. nova infrastructura,0.00,111256.17,111256.17,127716.12,87199.23,18237.68
46,2019,10203,13301,619,Guàrdia Urbana-Ordenació trànsit-Inversió reposició infrast.,0.00,49000.00,49000.00,21780.00,4124.49,4124.49
47,2019,10203,13301,60900,Guàrdia Urbana-Ordenacio del transit-Inversió nova infrast,0.00,19429.28,19429.28,19259.09,17530.77,17530.77
48,2019,10203,13301,61900,Guardia Urbana-Ordenacio deI transit-inv reposició infrast,0.00,15349.83,15349.83,15349.83,15272.69,15272.69
49,2019,10203,13400,22104,Guàrdia urbana-Mobilitat PG-Vestuari,1900.00,0.00,1900.00,862.56,862.56,862.56
50,2019,10203,13400,619,Guàrdia Urbana-MobilitatPG-Inversió reposició infrast,0.00,73532.54,73532.54,3025.00,3025.00,3025.00
51,2019,10203,13400,623,"Guardia Urbana-Mobilitat-Maquinària,instal.lacions",0.00,0.00,0.00,0.00,0.00,0.00
52,2019,10203,13400,629,Guàrdia urbana-Mobilitat PG-Altres inversions,0.00,0.00,0.00,0.00,0.00,0.00
53,2019,10203,13400,22603,Guàrdia urbana-Mobilitat PG-Publicacions diaris,0.00,0.00,0.00,0.00,0.00,0.00
54,2019,10203,13400,22100,Guàrdia urbana- Mobilitat PG-Subministre elèctric,47000.00,0.00,47000.00,41290.98,38802.41,20900.05
55,2019,10203,13400,609,Guàrdia urbana-Mobilitat PG-Inversió nova infrast.,0.00,0.00,0.00,0.00,0.00,0.00
56,2019,10203,13400,22199,Guàrdia urbana-Mobilitat PG-Altres subministrament,78000.00,0.00,78000.00,56998.69,56998.69,45721.65
57,2019,10203,13410,219,"Guàrdia Urbana-Mobilitat-Reparació,mant. semàfors",10000.00,0.00,10000.00,0.00,0.00,0.00
58,2019,10203,13410,22799,Guàrdia urbana-Mobilitat-Treballs real.altr.empreses,0.00,0.00,0.00,0.00,0.00,0.00
59,2019,10203,13410,210,"Guàrdia urbana-Mobilitat-Rep.,manteniment infraest",97348.49,-74000.00,23348.49,0.00,0.00,0.00
60,2019,10203,13411,22799,Guàrdia urbana-Mobilitat-Retolacions,5000.00,0.00,5000.00,5174.56,5174.56,3777.74
61,2019,10203,13412,22799,Guàrdia urbana-Mobilitat-Pintat i repintat,150000.00,0.00,150000.00,170145.36,170145.36,118352.52
62,2019,10203,13413,22799,Guàrdia urbana-Mobilitat-Neteja cartells via púb.,10000.00,0.00,10000.00,9094.21,9094.21,7131.02
63,2019,10203,13414,22799,Guàrdia urbana-Mobilitat-Equips suport,50000.00,0.00,50000.00,62765.60,62765.60,47074.23
64,2019,10203,13500,489,Guàrdia Urbana-Protecció Civil-A fam. i inst.s.lucre,18000.00,2000.00,20000.00,18495.36,18495.36,12825.00
65,2019,10203,13500,22104,Guàrdia Urbana-Protecció Civil-Subministrament vestuari,0.00,0.00,0.00,0.00,0.00,0.00
66,2019,10203,13500,22100,Guàrdia Urbana-Protecció Civil-Subministrament elèctric,0.00,0.00,0.00,1200.00,0.00,0.00
67,2019,10203,13500,22699,Guàrdia Urbana-Protecció Civil-Despeses diverses,2000.00,-2000.00,0.00,0.00,0.00,0.00
68,2019,10203,13500,22799,Guàrdia Urbana-Protecció Civil-Treballs realitzats emp.,6000.00,0.00,6000.00,0.00,0.00,0.00
69,2019,10203,13500,214,Guàrdia Urbana-Protecció Civil-Manteniment  transport,2000.00,0.00,2000.00,0.00,0.00,0.00
70,2019,10300,92000,22601,Vice-Alcaldia-PG-Atencions protocolàries i representatives,0.00,0.00,0.00,0.00,0.00,0.00
71,2019,10300,92000,22602,ViceAlcaldia-PG-Publicitat,0.00,0.00,0.00,11538.44,11538.44,0.00
72,2019,10300,92000,22799,Vice-Alcaldia-PG-Treballs realitzats per altres empreses,0.00,0.00,0.00,2950.65,2950.65,0.00
73,2019,10300,92000,22699,Vice-Alcaldia- PG- Despeses diverses,30000.00,0.00,30000.00,8681.75,8681.75,0.00
74,2019,20706,32763,22100,Promoció-Estudis Universitaris-Sub.energia electrica,8000.00,0.00,8000.00,9603.46,9561.64,7118.89
75,2019,20706,32763,489,Promoció-Estudis Universitaris-A institucions sense à.lucre,137960.30,0.00,137960.30,137960.30,137960.30,137960.30
76,2019,20706,43230,22699,Promoció-Gaudí Centre-Despeses diverses,82548.43,0.00,82548.43,82548.44,82548.44,61911.33
77,2019,20706,43300,22699,Promoció-Dinamització PG-Despeses diverses,5000.00,0.00,5000.00,2890.08,2890.08,110.75
78,2019,20706,43300,22601,Promoció-Dinamització PG-Atencions protocolàries i repres.,0.00,0.00,0.00,1597.69,1597.69,785.69
79,2019,20706,43300,22602,Promoció-Dinamització PG-Publicitat,0.00,0.00,0.00,0.00,0.00,0.00
80,2019,20706,43300,44900,Promoció-Dinamització PG -Subv.a soc.merc.mpals.,875000.00,0.00,875000.00,875000.00,875000.00,787500.00
81,2019,20706,43300,489,Promoció-Dinamització PG-A famíl.i institucions,80234.00,0.00,80234.00,26700.00,26700.00,9000.00
82,2019,20706,43300,47001,Promoció-Dinamització PG-A empreses privades,0.00,0.00,0.00,13981.40,0.00,0.00
83,2019,20706,43300,461,Promoció-Dinamització PG-A Diputació,142000.00,0.00,142000.00,142000.00,142000.00,142000.00
84,2019,20706,43301,22799,Promoció-Prom.activ.empresarial-Treballs altres empreses,43410.00,0.00,43410.00,14628.55,14628.55,3164.10
85,2019,20706,43301,22602,Promoció-Prom.activ.empresarial-Publicitat,0.00,0.00,0.00,6094.72,6094.72,5388.80
86,2019,20706,43302,44900,Promoció-Dinamització Redessa-Subvenció a soc.merc.mpal.,0.00,57100.00,57100.00,96429.00,96429.00,0.00
87,2019,20706,43302,22799,Promoció-Dinamització Redessa-Treb.altres empreses,100000.00,-40000.00,60000.00,0.00,0.00,0.00
88,2019,20706,43303,489,Promoció-Suport iniciatives prom.eco.-Subvencions,28300.00,0.00,28300.00,0.00,0.00,0.00
89,2019,20706,43304,47001,Promoció-Impuls creació i creixement empreses-Subv.,86000.00,0.00,86000.00,102484.00,102484.00,484.00
90,2019,20706,43940,74900,Promoció-Activitat firal-Aport a soc mpals o prov,4136005.00,-191419.65,3944585.35,3944583.32,3944583.32,3944583.32
91,2019,20706,43950,22799,Promoció-Dinamit.promoc.empresarial-Treb.altr.emp.,17000.00,0.00,17000.00,0.00,0.00,0.00
92,2019,20706,43951,641,Promocio-PECT-NUTRISALT-Despeses en aplic. informàtiques,0.00,0.00,0.00,0.00,0.00,0.00
93,2019,20706,43951,22799,Promocio-PECT NUTRISALT-D'altres treballs realit. alt. emp.,0.00,0.00,0.00,363.98,363.98,0.00
94,2019,20706,43951,640,Promocio-PECT-NUTRISALT-Desp.inversions caràcter immaterial,0.00,0.00,0.00,0.00,0.00,0.00
95,2019,20706,49160,22100,Promocio-Televisió Local-Subministrament d'energia elèctrica,0.00,0.00,0.00,850.00,574.14,482.08
96,2019,20706,49160,22799,Promoció-Televisió local-Treballs realit.alt.emp.,244525.00,0.00,244525.00,250568.95,244629.27,196078.78
97,2019,20711,13360,626,STIT-Mobilitat Smart Cities-Equips proc.informació,0.00,0.00,0.00,0.00,0.00,0.00
98,2019,20711,15000,640,STIT-Urbanisme-PG-Despeses inversions caràcter immaterial,0.00,58080.00,58080.00,55176.00,34485.00,0.00
99,2019,20711,49100,22799,STIT-PG-Treballs realitzats alt.emp.,31218.00,0.00,31218.00,80162.18,80162.18,53571.61
100,2019,20711,49100,22701,STIT-PG-Seguretat,14514.37,0.00,14514.37,9055.31,9055.31,9055.31
101,2019,20711,49100,22699,STIT-PG-Despeses diverses,5885.85,0.00,5885.85,12443.99,12443.99,9644.87
102,2019,20711,49100,641,STIT-PG-Despeses en aplicacions informàtiques,0.00,329482.21,329482.21,206971.01,73994.98,35270.34
103,2019,20711,49100,64100,STIT-PG-Despeses en aplicacions informàtiques,0.00,0.00,0.00,0.00,0.00,0.00
104,2019,20711,49100,629,STIT-PG-Altres Inversions  assoc. al funcionament servei,0.00,10135.14,10135.14,14762.20,14762.20,14762.20
105,2019,20711,49100,640,STIT-PG-Despeses inversions immaterial,0.00,0.00,0.00,0.00,0.00,0.00
106,2019,20711,49100,609,STIT-PG-Inversió nova infrastructura,0.00,0.00,0.00,0.00,0.00,0.00
107,2019,20711,49100,648,STIT-PG-Quotes per op.arrendament financer,0.00,0.00,0.00,0.00,0.00,0.00
108,2019,20711,49100,626,STIT-PG-Equips processos informació,0.00,169154.02,169154.02,142547.83,132781.84,115298.51
109,2019,20711,49100,22002,STIT-PG-Subscripcions electròniques Mat. informàtica,0.00,0.00,0.00,478.56,478.56,478.56
110,2019,20711,49100,623,"STIT-PG-Maquinària,instal.l.acions i eines",0.00,532.40,532.40,0.00,0.00,0.00
111,2019,20711,49100,22000,STIT-PG-Subscripcions electròniques mat.oficina,13188.96,0.00,13188.96,12177.79,12177.76,9074.97
112,2019,20711,49100,206,STIT-PG-Arrend. equips processos informació,0.00,0.00,0.00,0.00,0.00,0.00
