_id,ANY,ORGÀNICA,PROGRAMA,ECONÒMICA,DESCRIPCIÓ PARTIDA,CRÈDITS INICIALS,MODIFICACIONS CRÈDIT,CRÈDITS TOTALS CONSIGNATS,DISPOSICIONS O COMPROMISOS,OBLIGACIONS RECONEGUDES,PAGAMENTS REALITZATS
55,2020,10203,13400,629,Guàrdia urbana-Mobilitat PG-Altres inversions,0.00,0,0.00,0,0,0
56,2020,10203,13410,210,"Guàrdia urbana-Mobilitat-Rep.,manteniment infraest",97348.49,0,97348.49,0,0,0
57,2020,10203,13410,22799,Guàrdia urbana-Mobilitat-Treballs real.altr.empreses,0.00,0,0.00,0,0,0
58,2020,10203,13410,219,"Guàrdia Urbana-Mobilitat-Reparació,mant. semàfors",10000.00,0,10000.00,0,0,0
59,2020,10203,13411,22799,Guàrdia urbana-Mobilitat-Retolacions,5000.00,0,5000.00,0,0,0
60,2020,10203,13412,22799,Guàrdia urbana-Mobilitat-Pintat i repintat,157803.00,0,157803.00,0,0,0
61,2020,10203,13413,22799,Guàrdia urbana-Mobilitat-Neteja cartells via púb.,10000.00,0,10000.00,0,0,0
62,2020,10203,13414,22799,Guàrdia urbana-Mobilitat-Equips suport,62766.00,0,62766.00,0,0,0
63,2020,10203,13500,489,Guàrdia Urbana-Protecció Civil-A fam. i inst.s.lucre,19300.00,0,19300.00,0,0,0
64,2020,10203,13500,22799,Guàrdia Urbana-Protecció Civil-Treballs realitzats emp.,6000.00,0,6000.00,0,0,0
65,2020,10203,13500,22699,Guàrdia Urbana-Protecció Civil-Despeses diverses,2000.00,0,2000.00,0,0,0
66,2020,10203,13500,22104,Guàrdia Urbana-Protecció Civil-Subministrament vestuari,0.00,0,0.00,0,0,0
67,2020,10203,13500,214,Guàrdia Urbana-Protecció Civil-Manteniment  transport,2000.00,0,2000.00,0,0,0
68,2020,10203,13500,22100,Guàrdia Urbana-Protecció Civil-Subministrament elèctric,0.00,0,0.00,0,0,0
69,2020,10300,92000,22699,Vice-Alcaldia - Despeses diverses,30000.00,0,30000.00,0,0,0
70,2020,20706,32763,489,Promoció-Estudis Universitaris-A institucions sense à.lucre,137960.30,0,137960.30,0,0,0
71,2020,20706,32763,22100,Promoció-Estudis Universitaris-Sub.energia electrica,8000.00,0,8000.00,0,0,0
72,2020,20706,43230,22699,Promoció-Gaudí Centre-Despeses diverses,82548.00,0,82548.00,0,0,0
73,2020,20706,43300,47001,Promoció-Dinamització PG-A empreses privades,0.00,0,0.00,0,0,0
74,2020,20706,43300,22601,Promoció-Dinamització PG-Atencions protocolàries i repres.,0.00,0,0.00,0,0,0
75,2020,20706,43300,22602,Promoció-Dinamització PG-Publicitat,56000.00,0,56000.00,0,0,0
