COMARCA;POBLACIO;CODI_CENTRE;CENTRE;NATURALESA;ESTUDIS
Garraf;Sant Pere de Ribes;8058957;Escola Els Costerets;Públic;EDUCACIÓ INFANTIL
Garraf;Sant Pere de Ribes;8058957;Escola Els Costerets;Públic;EDUCACIÓ PRIMÀRIA
Vallès Oriental;Lliçà de Vall;8058969;Institut El Vern;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Maresme;Tordera;8059093;Escola d'Hortsavinyà;Públic;EDUCACIÓ INFANTIL
Maresme;Tordera;8059093;Escola d'Hortsavinyà;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8059226;Vida Montserrat;Privat;EDUCACIÓ ESPECIAL
Barcelonès;Barcelona;8059226;Vida Montserrat;Privat;ITINERARIS FORMATIUS ESPECÍFICS
Barcelonès;Barcelona;8059226;Vida Montserrat;Privat;PROGRAMA DE FORMACIÓ I INSERCIÓ
Barcelonès;Santa Coloma de Gramenet;8059329;Institut Can Peixauet;Públic;BATXILLERAT
Barcelonès;Santa Coloma de Gramenet;8059329;Institut Can Peixauet;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Barcelona;8059342;IESA Institut del Teatre;Públic;BATXILLERAT
Barcelonès;Barcelona;8059342;IESA Institut del Teatre;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Baix Llobregat;Esparreguera;8059354;Escola Les Roques Blaves;Públic;EDUCACIÓ INFANTIL
Baix Llobregat;Esparreguera;8059354;Escola Les Roques Blaves;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8059411;Cintra;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Bages;Navarcles;8059524;Institut de Navarcles;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8059639;Escola Progrés;Públic;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8059639;Escola Progrés;Públic;EDUCACIÓ PRIMÀRIA
Baix Llobregat;Cornellà de Llobregat;8059688;Institut Maria Aurèlia Capmany;Públic;BATXILLERAT
Baix Llobregat;Cornellà de Llobregat;8059688;Institut Maria Aurèlia Capmany;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Baix Llobregat;Viladecans;8059721;Escola Marta Mata;Públic;EDUCACIÓ INFANTIL
Baix Llobregat;Viladecans;8059721;Escola Marta Mata;Públic;EDUCACIÓ PRIMÀRIA
Bages;Manresa;8059755;Escola La Font;Públic;EDUCACIÓ INFANTIL
Bages;Manresa;8059755;Escola La Font;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Santa Coloma de Gramenet;8059767;Escola Tanit;Públic;EDUCACIÓ INFANTIL
Barcelonès;Santa Coloma de Gramenet;8059767;Escola Tanit;Públic;EDUCACIÓ PRIMÀRIA
Vallès Oriental;Sant Fost de Campsentelles;8059809;Escola El Roure;Públic;EDUCACIÓ INFANTIL
Vallès Oriental;Les Franqueses del Vallès;8059780;Escola Bellavista-Joan Camps i Giró;Públic;EDUCACIÓ INFANTIL
Vallès Oriental;Les Franqueses del Vallès;8059780;Escola Bellavista-Joan Camps i Giró;Públic;EDUCACIÓ PRIMÀRIA
Vallès Oriental;Montornès del Vallès;8059792;Escola Mogent;Públic;EDUCACIÓ INFANTIL
Vallès Oriental;Montornès del Vallès;8059792;Escola Mogent;Públic;EDUCACIÓ PRIMÀRIA
Vallès Oriental;Sant Fost de Campsentelles;8059809;Escola El Roure;Públic;EDUCACIÓ PRIMÀRIA
Baix Llobregat;Sant Esteve Sesrovires;8059810;Escola Vinya del Sastret;Públic;EDUCACIÓ INFANTIL
Baix Llobregat;Sant Esteve Sesrovires;8059810;Escola Vinya del Sastret;Públic;EDUCACIÓ PRIMÀRIA
Baix Llobregat;Abrera;8059822;Escola Ernest Lluch;Públic;EDUCACIÓ INFANTIL
Baix Llobregat;Abrera;8059822;Escola Ernest Lluch;Públic;EDUCACIÓ PRIMÀRIA
Vallès Occidental;Sant Cugat del Vallès;8059871;Escola Gerbert d'Orlhac;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Sant Cugat del Vallès;8059871;Escola Gerbert d'Orlhac;Públic;EDUCACIÓ PRIMÀRIA
Alt Penedès;Sant Sadurní d'Anoia;8059998;Escola La Pau;Públic;EDUCACIÓ INFANTIL
Alt Penedès;Sant Sadurní d'Anoia;8059998;Escola La Pau;Públic;EDUCACIÓ PRIMÀRIA
Vallès Oriental;Sant Feliu de Codines;8060009;Institut Manuel Carrasco i Formiguera;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Maresme;Argentona;8060319;Escola Les Fonts;Públic;EDUCACIÓ INFANTIL
Maresme;Argentona;8060319;Escola Les Fonts;Públic;EDUCACIÓ PRIMÀRIA
Maresme;Palafolls;8060423;Escola Mas Prats;Públic;EDUCACIÓ INFANTIL
Maresme;Palafolls;8060423;Escola Mas Prats;Públic;EDUCACIÓ PRIMÀRIA
Vallès Occidental;Sant Quirze del Vallès;8060484;Escola Taula Rodona;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Sant Quirze del Vallès;8060484;Escola Taula Rodona;Públic;EDUCACIÓ PRIMÀRIA
Anoia;Masquefa;8060514;Institut de Masquefa;Públic;BATXILLERAT
Anoia;Masquefa;8060514;Institut de Masquefa;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Anoia;Piera;8060526;Escola Creixà;Públic;EDUCACIÓ INFANTIL
Anoia;Piera;8060526;Escola Creixà;Públic;EDUCACIÓ PRIMÀRIA
Baix Llobregat;Castelldefels;8060599;Escola Garigot;Públic;EDUCACIÓ INFANTIL
Baix Llobregat;Castelldefels;8060599;Escola Garigot;Públic;EDUCACIÓ PRIMÀRIA
Anoia;Masquefa;8060605;Escola Font del Roure;Públic;EDUCACIÓ INFANTIL
Anoia;Masquefa;8060605;Escola Font del Roure;Públic;EDUCACIÓ PRIMÀRIA
Baix Llobregat;Corbera de Llobregat;8060629;Escola El Corb;Públic;EDUCACIÓ INFANTIL
Baix Llobregat;Corbera de Llobregat;8060629;Escola El Corb;Públic;EDUCACIÓ PRIMÀRIA
Vallès Occidental;Matadepera;8060757;Escola Joan Torredemer Canela;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Matadepera;8060757;Escola Joan Torredemer Canela;Públic;EDUCACIÓ PRIMÀRIA
Maresme;Canet de Mar;8060836;Escola Turó del Drac;Públic;EDUCACIÓ INFANTIL
Maresme;Canet de Mar;8060836;Escola Turó del Drac;Públic;EDUCACIÓ PRIMÀRIA
Baix Llobregat;Sant Andreu de la Barca;8060848;Escola de Sant Andreu de la Barca;Públic;EDUCACIÓ INFANTIL
Baix Llobregat;Sant Andreu de la Barca;8060848;Escola de Sant Andreu de la Barca;Públic;EDUCACIÓ PRIMÀRIA
Baix Llobregat;Vallirana;8060851;Escola L'Olivera;Públic;EDUCACIÓ INFANTIL
Baix Llobregat;Vallirana;8060851;Escola L'Olivera;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8060873;Escola Eulàlia Bota;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8060873;Escola Eulàlia Bota;Públic;EDUCACIÓ PRIMÀRIA
Vallès Oriental;Bigues i Riells;8060903;Escola El Colomer;Públic;EDUCACIÓ INFANTIL
Vallès Oriental;Bigues i Riells;8060903;Escola El Colomer;Públic;EDUCACIÓ PRIMÀRIA
Vallès Oriental;Bigues i Riells;8060915;Institut Maria de Bell-lloc;Públic;BATXILLERAT
Vallès Oriental;Bigues i Riells;8060915;Institut Maria de Bell-lloc;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Garraf;Cubelles;8060927;Escola Vora del Mar;Públic;EDUCACIÓ INFANTIL
Garraf;Cubelles;8060927;Escola Vora del Mar;Públic;EDUCACIÓ PRIMÀRIA
Vallès Oriental;Les Franqueses del Vallès;8060939;Escola Guerau de Liost;Públic;EDUCACIÓ INFANTIL
Vallès Oriental;Les Franqueses del Vallès;8060939;Escola Guerau de Liost;Públic;EDUCACIÓ PRIMÀRIA
Vallès Oriental;Lliçà d'Amunt;8060940;Escola Rosa Oriol Anguera;Públic;EDUCACIÓ INFANTIL
Vallès Oriental;Lliçà d'Amunt;8060940;Escola Rosa Oriol Anguera;Públic;EDUCACIÓ PRIMÀRIA
Vallès Oriental;Lliçà de Vall;8060952;Escola Els Vinyals;Públic;EDUCACIÓ INFANTIL
Vallès Oriental;Lliçà de Vall;8060952;Escola Els Vinyals;Públic;EDUCACIÓ PRIMÀRIA
Osona;Manlleu;8060964;Escola Quatre Vents;Públic;EDUCACIÓ INFANTIL
Osona;Manlleu;8060964;Escola Quatre Vents;Públic;EDUCACIÓ PRIMÀRIA
Osona;Les Masies de Voltregà;8060976;Institut del Voltreganès;Públic;BATXILLERAT
Osona;Les Masies de Voltregà;8060976;Institut del Voltreganès;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Vallès Oriental;Mollet del Vallès;8060988;Escola Cal Músic;Públic;EDUCACIÓ INFANTIL
Vallès Oriental;Mollet del Vallès;8060988;Escola Cal Músic;Públic;EDUCACIÓ PRIMÀRIA
Vallès Oriental;La Roca del Vallès;8060991;Escola Mogent;Públic;EDUCACIÓ INFANTIL
Vallès Oriental;La Roca del Vallès;8060991;Escola Mogent;Públic;EDUCACIÓ PRIMÀRIA
Garraf;Sant Pere de Ribes;8061002;Escola Les Parellades;Públic;EDUCACIÓ INFANTIL
Garraf;Sant Pere de Ribes;8061002;Escola Les Parellades;Públic;EDUCACIÓ PRIMÀRIA
Garraf;Sitges;8061014;Institut Vinyet;Públic;BATXILLERAT
Garraf;Sitges;8061014;Institut Vinyet;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Vallès Oriental;Vilanova del Vallès;8061026;Escola La Falguera;Públic;EDUCACIÓ INFANTIL
Vallès Oriental;Vilanova del Vallès;8061026;Escola La Falguera;Públic;EDUCACIÓ PRIMÀRIA
Vallès Oriental;Vilanova del Vallès;8061038;Institut de Vilanova del Vallès;Públic;BATXILLERAT
Vallès Oriental;Vilanova del Vallès;8061038;Institut de Vilanova del Vallès;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Garraf;Vilanova i la Geltrú;8061041;Escola Sant Jordi;Públic;EDUCACIÓ INFANTIL
Garraf;Vilanova i la Geltrú;8061041;Escola Sant Jordi;Públic;EDUCACIÓ PRIMÀRIA
Garraf;Vilanova i la Geltrú;8061051;Escola Ítaca;Públic;EDUCACIÓ INFANTIL
Garraf;Vilanova i la Geltrú;8061051;Escola Ítaca;Públic;EDUCACIÓ PRIMÀRIA
Maresme;Alella;8061063;Escola La Serreta;Públic;EDUCACIÓ INFANTIL
Maresme;Alella;8061063;Escola La Serreta;Públic;EDUCACIÓ PRIMÀRIA
Maresme;Montgat;8061087;Escola Marina;Públic;EDUCACIÓ INFANTIL
Maresme;Montgat;8061087;Escola Marina;Públic;EDUCACIÓ PRIMÀRIA
Maresme;Palafolls;8061099;Institut Font del Ferro;Públic;BATXILLERAT
Maresme;Palafolls;8061099;Institut Font del Ferro;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Maresme;Sant Vicenç de Montalt;8061105;Escola Sot del Camp;Públic;EDUCACIÓ INFANTIL
Maresme;Sant Vicenç de Montalt;8061105;Escola Sot del Camp;Públic;EDUCACIÓ PRIMÀRIA
Maresme;Teià;8061117;Institut Turó d'en Baldiri;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Baix Llobregat;Sant Esteve Sesrovires;8061129;Institut Montserrat Colomer;Públic;BATXILLERAT
Baix Llobregat;Sant Esteve Sesrovires;8061129;Institut Montserrat Colomer;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Vallès Occidental;Barberà del Vallès;8061142;Escola Miquel Martí i Pol;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Barberà del Vallès;8061142;Escola Miquel Martí i Pol;Públic;EDUCACIÓ PRIMÀRIA
Vallès Occidental;Rubí;8061154;Escola Ca n'Alzamora;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Rubí;8061154;Escola Ca n'Alzamora;Públic;EDUCACIÓ PRIMÀRIA
Vallès Occidental;Sabadell;8061166;Escola de Can Llong;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Sabadell;8061166;Escola de Can Llong;Públic;EDUCACIÓ PRIMÀRIA
Vallès Occidental;Sant Cugat del Vallès;8061178;Escola Turó de Can Mates;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Sant Cugat del Vallès;8061178;Escola Turó de Can Mates;Públic;EDUCACIÓ PRIMÀRIA
Vallès Occidental;Santa Perpètua de Mogoda;8061181;Escola Santiga;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Santa Perpètua de Mogoda;8061181;Escola Santiga;Públic;EDUCACIÓ PRIMÀRIA
Vallès Occidental;Vacarisses;8061191;Escola Font de l'Orpina;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Vacarisses;8061191;Escola Font de l'Orpina;Públic;EDUCACIÓ PRIMÀRIA
Vallès Occidental;Vacarisses;8061208;Institut Vacarisses;Públic;BATXILLERAT
Vallès Occidental;Vacarisses;8061208;Institut Vacarisses;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Maresme;Cabrils;8061762;Escola Mas Maria;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8061348;Escola Bufalà;Públic;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8061348;Escola Bufalà;Públic;EDUCACIÓ PRIMÀRIA
Baix Llobregat;Torrelles de Llobregat;8061361;Institut Torrelles de Llobregat;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Bages;Mura;8061521;Escola Vall de Néspola - ZER El Moianès Ponent;Públic;EDUCACIÓ INFANTIL
Bages;Mura;8061521;Escola Vall de Néspola - ZER El Moianès Ponent;Públic;EDUCACIÓ PRIMÀRIA
Vallès Occidental;Polinyà;8061543;Escola Roser Capdevila;Públic;EDUCACIÓ INFANTIL
Vallès Occidental;Polinyà;8061543;Escola Roser Capdevila;Públic;EDUCACIÓ PRIMÀRIA
Baix Llobregat;Martorell;8061609;Escola Mercè Rodoreda;Públic;EDUCACIÓ INFANTIL
