COMARCA;POBLACIO;CODI_CENTRE;CENTRE;NATURALESA;ESTUDIS
Bages;Manresa;8020218;La Salle;Privat;EDUCACIÓ PRIMÀRIA
Baix Llobregat;Abrera;8000013;Escola Francesc Platón i Sartí;Públic;EDUCACIÓ INFANTIL
Baix Llobregat;Abrera;8000013;Escola Francesc Platón i Sartí;Públic;EDUCACIÓ PRIMÀRIA
Maresme;Alella;8000049;Escola Fabra;Públic;EDUCACIÓ INFANTIL
Maresme;Alella;8000049;Escola Fabra;Públic;EDUCACIÓ PRIMÀRIA
Osona;Alpens;8000086;Escola La Forja - ZER Alt Lluçanès;Públic;EDUCACIÓ INFANTIL
Osona;Alpens;8000086;Escola La Forja - ZER Alt Lluçanès;Públic;EDUCACIÓ PRIMÀRIA
Vallès Oriental;L'Ametlla del Vallès;8000098;Escola Bertí;Públic;EDUCACIÓ INFANTIL
Vallès Oriental;L'Ametlla del Vallès;8000098;Escola Bertí;Públic;EDUCACIÓ PRIMÀRIA
Maresme;Arenys de Mar;8000131;La Presentació;Privat;BATXILLERAT
Maresme;Arenys de Mar;8000131;La Presentació;Privat;EDUCACIÓ INFANTIL
Maresme;Arenys de Mar;8000131;La Presentació;Privat;EDUCACIÓ PRIMÀRIA
Maresme;Arenys de Mar;8000131;La Presentació;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Maresme;Arenys de Mar;8000153;Escola Joan Maragall;Públic;EDUCACIÓ INFANTIL
Maresme;Arenys de Mar;8000153;Escola Joan Maragall;Públic;EDUCACIÓ PRIMÀRIA
Maresme;Arenys de Munt;8000165;Escola Sant Martí;Públic;EDUCACIÓ INFANTIL
Maresme;Arenys de Munt;8000165;Escola Sant Martí;Públic;EDUCACIÓ PRIMÀRIA
Maresme;Argentona;8000189;Escola Bernat de Riudemeia;Públic;EDUCACIÓ INFANTIL
Maresme;Argentona;8000189;Escola Bernat de Riudemeia;Públic;EDUCACIÓ PRIMÀRIA
Bages;Artés;8000220;Vedruna Artés;Privat;EDUCACIÓ INFANTIL
Bages;Artés;8000220;Vedruna Artés;Privat;EDUCACIÓ PRIMÀRIA
Bages;Artés;8000220;Vedruna Artés;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Bages;Artés;8000244;Escola Doctor Ferrer;Públic;EDUCACIÓ INFANTIL
Bages;Artés;8000244;Escola Doctor Ferrer;Públic;EDUCACIÓ PRIMÀRIA
Berguedà;Avià;8000271;Escola Santa Maria d'Avià;Públic;EDUCACIÓ INFANTIL
Berguedà;Avià;8000271;Escola Santa Maria d'Avià;Públic;EDUCACIÓ PRIMÀRIA
Alt Penedès;Avinyonet del Penedès;8000347;Escola d'Avinyonet del Penedès;Públic;EDUCACIÓ INFANTIL
Alt Penedès;Avinyonet del Penedès;8000347;Escola d'Avinyonet del Penedès;Públic;EDUCACIÓ PRIMÀRIA
Vallès Oriental;Aiguafreda;8000359;Escola La Muntanya;Públic;EDUCACIÓ INFANTIL
Vallès Oriental;Aiguafreda;8000359;Escola La Muntanya;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000384;Escola Lola Anglada;Públic;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000384;Escola Lola Anglada;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000396;Escola Ventós i Mir;Públic;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000396;Escola Ventós i Mir;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000402;Escola Feliu i Vegués;Públic;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000402;Escola Feliu i Vegués;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000414;Escola Alexandre Galí;Públic;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000414;Escola Alexandre Galí;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000499;Sant Domènec Savio;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000499;Sant Domènec Savio;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000499;Sant Domènec Savio;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8000517;Sant Andreu;Privat;BATXILLERAT
Barcelonès;Badalona;8000517;Sant Andreu;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000517;Sant Andreu;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000517;Sant Andreu;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8000578;Nen Jesús de Praga;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000578;Nen Jesús de Praga;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000578;Nen Jesús de Praga;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8000608;Montserrat;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000608;Montserrat;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000670;Mare de Déu de la Salut;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000670;Mare de Déu de la Salut;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000700;Maristes Champagnat;Privat;BATXILLERAT
Barcelonès;Badalona;8000700;Maristes Champagnat;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000700;Maristes Champagnat;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000700;Maristes Champagnat;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8000761;Badalonès;Privat;BATXILLERAT
Barcelonès;Badalona;8000761;Badalonès;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000761;Badalonès;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000761;Badalonès;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8000827;Jesús Maria;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000827;Jesús Maria;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000827;Jesús Maria;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8000864;Cultural;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000864;Cultural;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000864;Cultural;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8000918;Cultural;Privat;BATXILLERAT
Barcelonès;Badalona;8000918;Cultural;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000918;Cultural;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000918;Cultural;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8000921;Arrels-Esperança;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000921;Arrels-Esperança;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000921;Arrels-Esperança;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8000943;Garbí Pere Vergés;Privat;BATXILLERAT
Barcelonès;Badalona;8000943;Garbí Pere Vergés;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000943;Garbí Pere Vergés;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000943;Garbí Pere Vergés;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8000967;Betúlia;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000967;Betúlia;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000967;Betúlia;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8000979;López Torrejón;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000979;López Torrejón;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000980;Ramiro de Maeztu;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8000980;Ramiro de Maeztu;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8000980;Ramiro de Maeztu;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8001029;Boix;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8001029;Boix;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8001029;Boix;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8001030;Cultural Fluvià;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8001030;Cultural Fluvià;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8001066;Maria Ward;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8001066;Maria Ward;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8001066;Maria Ward;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8001108;Mare de Déu de l'Assumpció;Privat;BATXILLERAT
Barcelonès;Badalona;8001108;Mare de Déu de l'Assumpció;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8001108;Mare de Déu de l'Assumpció;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8001108;Mare de Déu de l'Assumpció;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8001133;Arrels-Blanquerna;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8001133;Arrels-Blanquerna;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8001133;Arrels-Blanquerna;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8001145;Lestonnac;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8001145;Lestonnac;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8001145;Lestonnac;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8001157;Minguella;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8001157;Minguella;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8001157;Minguella;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8001170;Santíssima Trinitat;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8001170;Santíssima Trinitat;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8001170;Santíssima Trinitat;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8001297;Laietània;Privat;BATXILLERAT
Barcelonès;Badalona;8001297;Laietània;Privat;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8001297;Laietània;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8001297;Laietània;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8001391;Escola Planas i Casals;Públic;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8001391;Escola Planas i Casals;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Badalona;8001421;Institut La Pineda;Públic;BATXILLERAT
Barcelonès;Badalona;8001421;Institut La Pineda;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8001431;Institut Isaac Albéniz;Públic;BATXILLERAT
Barcelonès;Badalona;8001431;Institut Isaac Albéniz;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8001443;Institut Eugeni d'Ors;Públic;BATXILLERAT
Barcelonès;Badalona;8001443;Institut Eugeni d'Ors;Públic;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Badalona;8001480;EA Pau Gargallo;Públic;ARTS PLÀSTIQUES I DISSENY
Barcelonès;Badalona;8001480;EA Pau Gargallo;Públic;BATXILLERAT
Barcelonès;Badalona;8001509;Escola Antoni Botey;Públic;EDUCACIÓ INFANTIL
Barcelonès;Badalona;8001509;Escola Antoni Botey;Públic;EDUCACIÓ PRIMÀRIA
Berguedà;Bagà;8001522;Escola Galceran de Pinós;Públic;EDUCACIÓ INFANTIL
Berguedà;Bagà;8001522;Escola Galceran de Pinós;Públic;EDUCACIÓ PRIMÀRIA
Osona;Balenyà;8001534;Escola Joan XXIII;Públic;EDUCACIÓ INFANTIL
Osona;Balenyà;8001534;Escola Joan XXIII;Públic;EDUCACIÓ PRIMÀRIA
Bages;Balsareny;8001583;Escola Guillem de Balsareny;Públic;EDUCACIÓ INFANTIL
Bages;Balsareny;8001583;Escola Guillem de Balsareny;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001595;Escola Baixeras;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001595;Escola Baixeras;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001601;Escola Parc de la Ciutadella;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001601;Escola Parc de la Ciutadella;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001649;Escola Mossèn Jacint Verdaguer;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001649;Escola Mossèn Jacint Verdaguer;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001650;Escola El Polvorí;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001650;Escola El Polvorí;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001674;Escola Can Clos;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001674;Escola Can Clos;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001716;Escola Dolors Monserdà-Santapau;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001716;Escola Dolors Monserdà-Santapau;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001731;Escola Poeta Foix;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001731;Escola Poeta Foix;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001777;Escola Ramon Llull;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001777;Escola Ramon Llull;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001789;Escola Cervantes;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001789;Escola Cervantes;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001790;Escola Pere Vila;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001790;Escola Pere Vila;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001807;Escola de la Concepció;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001807;Escola de la Concepció;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001819;Escola Collaso i Gil;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001819;Escola Collaso i Gil;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001820;Escola Milà i Fontanals;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001820;Escola Milà i Fontanals;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001832;Escola Castella;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001832;Escola Castella;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001856;Escola Drassanes;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001856;Escola Drassanes;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001868;Escola Rubén Darío;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001868;Escola Rubén Darío;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001911;Escola Els Llorers;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001911;Escola Els Llorers;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001923;Escola Diputació;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001923;Escola Diputació;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8001947;Escola Mallorca;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8001947;Escola Mallorca;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002009;Escola Francesc Macià;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002009;Escola Francesc Macià;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002010;Escola Lluís Vives;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002010;Escola Lluís Vives;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002022;Escola Cal Maiol;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002022;Escola Cal Maiol;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002058;Escola Pràctiques;Públic;EDUCACIÓ INFANTIL
Berguedà;Berga;8014681;Escola Santa Eulàlia;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002058;Escola Pràctiques;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002061;Escola Jaume I;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002061;Escola Jaume I;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002071;Escola Gayarre;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002071;Escola Gayarre;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002113;Escola Rius i Taulet;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002113;Escola Rius i Taulet;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002174;Escola Baldiri Reixac;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002174;Escola Baldiri Reixac;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002186;Escola Mare de Déu de Montserrat;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002186;Escola Mare de Déu de Montserrat;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002198;Escola La Farigola de Vallcarca;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002198;Escola La Farigola de Vallcarca;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002204;Escola Montseny;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002204;Escola Montseny;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002216;Escola Josep Maria de Sagarra;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002216;Escola Josep Maria de Sagarra;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002277;Escola Calderón de la Barca;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002277;Escola Calderón de la Barca;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002290;Escola Emili Juncadella;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002290;Escola Emili Juncadella;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002320;Escola Ciutat Comtal;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002320;Escola Ciutat Comtal;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002344;Escola El Turó;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002344;Escola El Turó;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002368;Escola Timbaler del Bruc;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002368;Escola Timbaler del Bruc;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002393;Escola L'Arc de Sant Martí;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002393;Escola L'Arc de Sant Martí;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002411;Escola Baró de Viver;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002411;Escola Baró de Viver;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002447;Escola Ramón y Cajal;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002484;Escola Aiguamarina;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002447;Escola Ramón y Cajal;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002459;Escola Elisenda de Montcada;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002459;Escola Elisenda de Montcada;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002484;Escola Aiguamarina;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002526;Escola Tibidabo;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002526;Escola Tibidabo;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002538;Escola Víctor Català;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002538;Escola Víctor Català;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002551;Escola Molí de Finestrelles;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002551;Escola Molí de Finestrelles;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002563;Escola La Mar Bella;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002563;Escola La Mar Bella;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002575;Escola La Pau;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002575;Escola La Pau;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002587;Escola Concepción Arenal;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002587;Escola Concepción Arenal;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002599;Escola Eduard Marquina;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002599;Escola Eduard Marquina;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002617;Escola Rambleta del Clot;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002617;Escola Rambleta del Clot;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002629;Escola Les Acàcies;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002629;Escola Les Acàcies;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002630;Escola Els Porxos;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002630;Escola Els Porxos;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002642;Escola Poblenou;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002642;Escola Poblenou;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002654;Escola Prim;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002654;Escola Prim;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002666;CEE Concha Espina;Públic;EDUCACIÓ ESPECIAL
Barcelonès;Barcelona;8002678;Escola Ausiàs March;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002678;Escola Ausiàs March;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002681;Escola Duran i Bas;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002681;Escola Duran i Bas;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002721;Escola Font d'en Fargas;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002721;Escola Font d'en Fargas;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002733;Escola Miralletes;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002733;Escola Miralletes;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002745;Escola El Carmel;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002745;Escola El Carmel;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002770;Escola Àgora;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002770;Escola Àgora;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002800;Escola Mas Casanovas;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002800;Escola Mas Casanovas;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002873;Escola Bac de Roda;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002873;Escola Bac de Roda;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002885;Escola Prosperitat;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002885;Escola Prosperitat;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002897;Escola Mestre Morera;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002897;Escola Mestre Morera;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002903;CEE Sant Joan de la Creu;Públic;EDUCACIÓ ESPECIAL
Barcelonès;Barcelona;8002915;Escola Brasil;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002915;Escola Brasil;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002927;Escola Joaquim Ruyra;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002927;Escola Joaquim Ruyra;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002952;Escola Enric Granados;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002952;Escola Enric Granados;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002976;Escola Ramon Casas;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002976;Escola Ramon Casas;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8002988;Escola Pare Poveda;Públic;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8002988;Escola Pare Poveda;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Sant Adrià de Besòs;8002991;Escola Cascavell;Públic;EDUCACIÓ INFANTIL
Barcelonès;Sant Adrià de Besòs;8002991;Escola Cascavell;Públic;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8003014;Jesús Maria;Privat;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8003014;Jesús Maria;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8003014;Jesús Maria;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Barcelona;8003041;Sagrada Família;Privat;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8003041;Sagrada Família;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8003087;Sant Joan Baptista;Privat;EDUCACIÓ INFANTIL
Barcelonès;Barcelona;8003087;Sant Joan Baptista;Privat;EDUCACIÓ PRIMÀRIA
Barcelonès;Barcelona;8003087;Sant Joan Baptista;Privat;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA
Barcelonès;Barcelona;8003294;Sant Felip Neri;Privat;EDUCACIÓ INFANTIL
